stride(Cm),cadence(per minute),face(1Km),5Km estimated time,10Km estimated time,half marathon estimated time,full marathon estimated time
70,130,10:59,54:57,1:49:53,3:51:50,7:43:41
70,140,10:12,51:01,1:42:02,3:35:17,7:10:34
70,150,9:31,47:37,1:35:14,3:20:56,6:41:51
70,160,8:56,44:39,1:29:17,3:08:22,6:16:44
70,170,8:24,42:01,1:24:02,2:57:17,5:54:35
70,180,7:56,39:41,1:19:22,2:47:26,5:34:53
70,190,7:31,37:36,1:15:11,2:38:38,5:17:15
70,200,7:09,35:43,1:11:26,2:30:42,5:01:24
70,210,6:48,34:01,1:08:02,2:23:31,4:47:02
70,220,6:30,32:28,1:04:56, 2:16:60, 4:33:60
70,230,6:13,31:03,1:02:07,2:11:02,4:22:05
80,130,9:37,48:05,1:36:09,3:22:52,6:45:43
80,140,8:56,44:39,1:29:17,3:08:22,6:16:44
80,150,8:20,41:40,1:23:20,2:55:49,5:51:38
80,160,7:49,39:04,1:18:08,2:44:49,5:29:39
80,170,7:21,36:46,1:13:32,2:35:08,5:10:15
80,180,6:57,34:43,1:09:27,2:26:31,4:53:01
80,190,6:35,32:54,1:05:47,2:18:48,4:37:36
80,200,6:15,31:15,1:02:30,2:11:52,4:23:43
80,210,5:57,29:46,59:31,2:05:35,4:11:10
80,220,5:41,28:25,56:49,1:59:52,3:59:45
80,230,5:26,27:10,54:21,1:54:40,3:49:19
90,130,8:33,42:44,1:25:28,3:00:19,6:00:38
90,140,7:56,39:41,1:19:22,2:47:26,5:34:53
90,150,7:24,37:02,1:14:04,2:36:17,5:12:33
90,160,6:57,34:43,1:09:27,2:26:31,4:53:01
90,170,6:32,32:41,1:05:22,2:17:54,4:35:47
90,180,6:10,30:52,1:01:44,2:10:14,4:20:28
90,190,5:51,29:14,58:29,2:03:23,4:06:45
90,200,5:33,27:47,55:33,1:57:12,3:54:25
90,210,5:17,26:27,52:55,1:51:38,3:43:15
90,220,5:03,25:15,50:30,1:46:33,3:33:06
90,230,4:50,24:09,48:19,1:41:55,3:23:50
100,130,7:42,38:28,1:16:55,2:42:17,5:24:35
100,140,7:09,35:43,1:11:26,2:30:42,5:01:24
100,150,6:40,33:20,1:06:40,2:20:39,4:41:18
100,160,6:15,31:15,1:02:30,2:11:52,4:23:43
100,170,5:53,29:25,58:49,2:04:06,4:08:12
100,180,5:33,27:47,55:33,1:57:12,3:54:25
100,190,5:16,26:19,52:38,1:51:02,3:42:05
100,200,5:00,25:00,50:00,1:45:29,3:30:58
100,210,4:46,23:49,47:37,1:40:28,3:20:56
100,220,4:33,22:44,45:27,1:35:54,3:11:48
100,230,4:21,21:44,43:29,1:31:44,3:03:27
110,130, 6:60,34:58,1:09:56,2:27:32,4:55:04
110,140,6:30,32:28,1:04:56, 2:16:60, 4:33:60
110,150,6:04,30:18,1:00:36,2:07:52,4:15:44
110,160,5:41,28:25,56:49,1:59:52,3:59:45
110,170,5:21,26:44,53:29,1:52:49,3:45:39
110,180,5:03,25:15,50:30,1:46:33,3:33:06
110,190,4:47,23:55,47:51,1:40:57,3:21:53
110,200,4:33,22:44,45:27,1:35:54,3:11:48
110,210,4:20,21:39,43:17,1:31:20,3:02:40
110,220,4:08,20:40,41.19,1:27:11,2:54:22
110,230,3:57,19:46,39:32,1:23:23,2:46:47
120,130,6:25,32:03,1:04:06,2:15:14,4:30:29
120,140,5:57,29:46,59:31,2:05:35,4:11:10
120,150,5:33,27:47,55:33,1:57:12,3:54:25
120,160,5:13,26:03,52:05,1:49:53,3:39:46
120,170,4:54,24:31,49:01,1:43:25,3:26:50
120,180,4:38,23:09,46:18,1:37:40,3:15:21
120,190,4:23,21:56,43:52,1:32:32,3:05:04
120,200,4:10,20:50,41:40,1:27:54,2:55:49
120,210,3:58,19:50,39:41,1:23:43,2:47:26
120,220,3:47,18:56,37:53,1:19:55,2:39:50
120,230,3:37,18:07,36.14,1:16:26,2:32:53
130,130,5:55,29:35,59:10,2:04:50,4:09:40
130,140,5:30,27:28,54:57,1:55:55,3:51:50
130,150,5:08,25:38,51:17,1:48:12,3:36:23
130,160,4:48,24:02,48:05,1:41:26,3:22:52
130,170,4:31,22:37,45:15,1:35:28,3:10:56
130,180,4:16,21:22,42:44,1:30:10,3:00:19
130,190,4:03,20:15,40:29,1:25:25,2:50:50
130,200,3:51,19:14,38:28,1:21:09,2:42:17
130,210,3:40,18:19,36.38,1:17:17,2:34:34
130,220,3:30,17:29,34:58,1:13:46,2:27:32
130,230,3:21,16:43,33:27,1:10:34,2:21:07
140,130,5:30,27:28,54:57,1:55:55,3:51:50
140,140,5:06,25:31,51:01,1:47:38,3:35:17
140,150,4:46,23:49,47:37,1:40:28,3:20:56
140,160,4:28,22:19,44:39,1:34:11,3:08:22
140,170,4:12,21:01,42:01,1:28:39,2:57:17
140,180,3:58,19:50,39:41,1:23:43,2:47:26
140,190,3:46,18:48,37:36,1:19:19,2:38:38
140,200,3:34,17:51,35:43,1:15:21,2:30:42
140,210,3:24,17:00,34:01,1:11:46,2:23:31
140,220,3:15,16:14,32:28,1:08:30, 2:16:60
140,230,3:06,15:32,31:03,1:05:31,2:11:02
150,130,5:08,25:38,51:17,1:48:12,3:36:23
150,140,4:46,23:49,47:37,1:40:28,3:20:56
150,150,4:27,22:13,22:13,1:33:46,3:07:32
150,160,4:10,20:50,41:40,1:27:54,2:55:49
150,170,3:55,19:36,39:13,1:22:44,2:45:28
150,180,3:42,18:31,37:02,1:18:08,2:36:17
150,190,3:31,17:33,35:05,1:14:02,2:28:03
150,200,3:20,16:40,33:20,1:10:20,2:20:39
150,210,3:10,15:52,31:45,1:06:59,2:13:57
150,220,3:02,15:09,30:18,1:03:56,2:07:52
150,230,2:54,14:30,28:59,1:01:09,2:02:18
160,130,4:48,24:02,48:05,1:41:26,3:22:52
160,140,4:28,22:19,44:39,1:34:11,3:08:22
160,150,4:10,20:50,41:40,1:27:54,2:55:49
160,160,3:54,19:32,39:04,1:22:25,2:44:49
160,170,3:41,18:23,36:46,1:17:34,2:35:08
160,180,3:28,17:22,34:43,1:13:15,2:26:31
160,190,3:17,16:27,32:54,1:09:24,2:18:48
160,200,3:08,15:38,31:15,1:05:56,2:11:52
160,210,259,14:53,29:46,1:02:47,2:05:35
160,220,2:50,14:12,28:25,59:56,1:59:52
160,230,2:43,13:35,27:10,57:20,1:54:40
170,130,4:31,22:37,45:15,1:35:28,3:10:56
170,140,4:12,21:01,42:01,1:28:39,2:57:17
170,150,3:55,19:36,39:13,1:22:44,2:45:28
170,160,3:41,18:23,36:46,1:17:34,2:35:08
170,170,3:28,17:18,34:36,1:13:00,2:26:00
170,180,3:16,16:20,32:41,1:08:57,2:17:54
170,190,3:06,15:29,30:58,1:05:19,2:10:38
170,200,2:56,14:42,29:25,1:02:03,2:04:06
170,210,2:48,14:00,28:01,59:06,1:58:12
170,220,2:40,13:22,26:44,56:25,1:52:49
170,230,2:33,12:47,25:35,53:57,1:47:55
180,130,4:16,21:22,42:44,1:30:10,3:00:19
180,140,3:58,19:50,39:41,1:23:43,2:47:26
180,150,3:42,18:31,37:02,1:18:08,2:36:17
180,160,3:28,17:22,34:43,1:13:15,2:26:31
180,170,3:16,16:20,32:41,1:08:57,2:17:54
180,180,3:05,15:26,30:52,1:05:07,2:10:14
180,190,2:55,14:37,29:14,1:01:41,2:03:23
180,200,2:47,13:53,27:47,58:36,1:57:12
180,210,2:39,13:14,26:27,55:49,1:51:38
180,220,2:32,12:38,25:15,53:17,1:46:33
180,230,2:25,12:05,24:09,50:58,1:41:55
